UE,Cross,F3.4 Surco,Column,Row,Cod,No,Adap. M *F4.5,family,f1.2,f2.3,f3.4,p1,p2,p3,p4,ID,Ambient.Humidity,Ambient.Temperature,ECSt.mAU,gH.,Leaf.Angle,Leaf.Temperature.Differential,LEF,Light.Intensity..PAR.,NPQt,Phi2,PhiNO,PhiNPQ,PS1.Active.Centers,PS1.Open.Centers,PS1.Over.Reduced.Centers,PS1.Oxidized.Centers,Relative.Chlorophyll,Thickness,vH.,date,time,Tratamiento,Genotipo,absorbance_940,Ambient.Pressure,B,ECS_tau,FmPrime,FoPrime,Fs,FvP_over_FmP,G,kP700,Leaf.Temperature,P700_DIRK_ampl,qL,R,thick2,thick3,thick4,Time.of.Day,tP700,v_initial_P700,value1,value2,value3,Latitude,Longitude,Family,Phi_index,Phi_in_ev,chl_ev,LTD_ev,NPQt_ev,thic_ev,li_count,hi_count,na_count,Final_eval,Carga,f1_2,f2_3,f3_4,Adap. M *F4.5 F
714,"((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO/007F1-12C-02C:[01C, 02C]",1696.0,21,1,QINT,19111-007,3,((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO,007F1,12C,02C,VAP 1,G 40287,SEF 10,ICTA LIGERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
828,"((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO/007F1-11C-02C:[01C, 02C]",1694.0,25,23,QINT,19111-007,3,((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO,007F1,11C,02C,VAP 1,G 40287,SEF 10,ICTA LIGERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
175,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/001F1-11C-01C:[01C, 02C]",1794.0,6,5,QINT,19112-001,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,001F1,11C,01C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
377,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/001F1-12C-02C:[01C, 02C]",1797.0,12,3,QINT,19112-001,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,001F1,12C,02C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
547,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/001F1-12C-03C:[01C, 02C]",1798.0,17,32,QINT,19112-001,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,001F1,12C,03C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
912,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/001F1-11C-02C:[01C, 02C]",1795.0,27,7,QINT,19112-001,3,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,001F1,11C,02C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/001F1-12C-01C:[01C, 02C]",1796.0,28,9,QINT,19112-001,3,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,001F1,12C,01C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/002F1-11C-01C:[01C, 02C]",1799.0,4,32,QINT,19112-002,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,002F1,11C,01C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/002F1-12C-01C:[01C, 02C]",1801.0,5,17,QINT,19112-002,1,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,002F1,12C,01C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
232,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/002F1-12C-03C:[01C, 02C]",1803.0,7,7,QINT,19112-002,1,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,002F1,12C,03C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
