UE,Cross,F3.4 Surco,Column,Row,Cod,No,Adap. M *F4.5,family,f1.2,f2.3,f3.4,p1,p2,p3,p4,ID,Ambient.Humidity,Ambient.Temperature,ECSt.mAU,gH.,Leaf.Angle,Leaf.Temperature.Differential,LEF,Light.Intensity..PAR.,NPQt,Phi2,PhiNO,PhiNPQ,PS1.Active.Centers,PS1.Open.Centers,PS1.Over.Reduced.Centers,PS1.Oxidized.Centers,Relative.Chlorophyll,Thickness,vH.,date,time,Tratamiento,Genotipo,absorbance_940,Ambient.Pressure,B,ECS_tau,FmPrime,FoPrime,Fs,FvP_over_FmP,G,kP700,Leaf.Temperature,P700_DIRK_ampl,qL,R,thick2,thick3,thick4,Time.of.Day,tP700,v_initial_P700,value1,value2,value3,Latitude,Longitude,Family,Phi_index,Phi_in_ev,chl_ev,LTD_ev,NPQt_ev,thic_ev,li_count,hi_count,na_count,Final_eval,Carga,f1_2,f2_3,f3_4,Adap. M *F4.5 F
771,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/002F1-11C-02C:[01C, 02C]",1800.0,23,12,QINT,19112-002,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,002F1,11C,02C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10/002F1-12C-02C:[01C, 02C]",1802.0,24,5,QINT,19112-002,3,((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,002F1,12C,02C,VAP 1,G 40287,SEF 10,SEF 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/002F1-12C-01C:[01C, 02C]",1836.0,2,21,QINT,19113-002,1,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,002F1,12C,01C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
130,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/002F1-11C-03C:[01C, 02C]",1835.0,4,28,QINT,19113-002,1,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,002F1,11C,03C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
397,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/002F1-11C-01C:[01C, 02C]",1833.0,12,23,QINT,19113-002,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,002F1,11C,01C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/002F1-11C-02C:[01C, 02C]",1834.0,17,12,QINT,19113-002,3,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,002F1,11C,02C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/002F1-12C-02C:[01C, 02C]",1837.0,21,13,QINT,19113-002,4,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,002F1,12C,02C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/004F1-12C-01C:[01C, 02C]",1863.0,1,23,QINT,19113-004,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,004F1,12C,01C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/004F1-11C-01C:[01C, 02C]",1861.0,9,18,QINT,19113-004,1,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,004F1,11C,01C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
499,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/004F1-12C-02C:[01C, 02C]",1864.0,15,12,QINT,19113-004,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,004F1,12C,02C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,"((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118/004F1-11C-02C:[01C, 02C]",1862.0,20,34,QINT,19113-004,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,004F1,11C,02C,VAP 1,G 40287,SEF 10,SEN 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214/006F1-11C-01C:[01C, 02C]",1445.0,8,33,QINT,19109-006,1,((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214,006F1,11C,01C,VAP 1,G 40287,SEF 10,SMC 214,1478630.0,41.861,37.88,0.00034,154.128,16.788,-7.73,36.7953768,131.248,0.679,0.623,0.224,0.152,2.003,0.514,0.558,-0.072,28.33,1.14,0.052,2019-10-23,PM,INV_IZQUIERDA,271.0,0.472,901.302,414.0,0.0065,1660.3,425.0,625.33,0.744,424.0,84.9747,30.15,0.00015,0.569,754.0,1.14,1.15,1.14,14.5672222222222,0.0118,0.0127462,5986.0,47403.0,47419.5,3.50100394338369,-76.3529062829912,((VAP1xG40287)F1XSEF10)F1XSMC214/006F1,1.65691489361702,HI,LI,HI,,HI,1.0,3.0,1.0,4.0,1.0,006F1,11C,01C,6.0
415,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214/006F1-11C-03C:[01C, 02C]",1447.0,13,28,QINT,19109-006,1,((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214,006F1,11C,03C,VAP 1,G 40287,SEF 10,SMC 214,1479011.0,51.266,37.77,0.00074,203.039,30.491,-5.74,203.27328,806.64,1.166,0.56,0.203,0.237,1.608,0.852,0.527,-0.379,33.15,0.72,0.15,2019-10-23,PM,INV_IZQUIERDA,415.0,0.463,900.935,2614.4,0.0049,1057.2,325.0,465.33,0.693,2585.2,176.6692,32.03,0.00035,0.565,5078.8,0.72,0.71,0.7,15.0530555555556,0.0057,0.0618342,6009.5,47949.0,47953.5,3.50095897447318,-76.3529479410499,((VAP1xG40287)F1XSEF10)F1XSMC214/006F1,1.27272727272727,LI,,,HI,,1.0,1.0,3.0,2.0,1.0,006F1,11C,03C,4.0
471,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214/006F1-12C-02C:[01C, 02C]",1449.0,14,29,QINT,19109-006,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214,006F1,12C,02C,VAP 1,G 40287,SEF 10,SMC 214,1479592.0,49.614,35.92,0.00066,232.805,8.784,-2.63,112.18635945,417.593,0.56,0.597,0.258,0.145,1.422,0.93,-0.109,0.179,35.2,0.61,0.154,2019-10-23,PM,INV_IZQUIERDA,471.0,0.41,900.908,1438.4,0.0043,1795.64,435.0,723.33,0.758,1434.6,342.1663,33.29,0.00017,0.474,2666.0,0.61,0.6,0.6,15.2547222222222,0.0029,0.0581683,5267.5,47821.0,47812.0,3.50093977991492,-76.3529345300049,((VAP1xG40287)F1XSEF10)F1XSMC214/006F1,1.48138957816377,,HI,LI,LI,LI,3.0,1.0,1.0,1.0,2.0,006F1,12C,02C,
735,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214/006F1-12C-01C:[01C, 02C]",1448.0,22,21,QINT,19109-006,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214,006F1,12C,01C,VAP 1,G 40287,SEF 10,SMC 214,1479367.0,42.928,38.75,0.00041,220.6,43.163,-8.74,69.0583482,248.322,0.503,0.618,0.254,0.128,3.868,0.626,0.541,-0.167,37.22,1.29,0.09,2019-10-23,PM,INV_DERECHA,735.0,0.46,898.472,1457.8,0.0045,1894.31,446.0,723.0,0.765,1399.0,351.3447,30.01,8e-05,0.499,2539.8,1.29,1.26,1.26,14.2872222222222,0.0028,0.0281076,3000.5,38698.0,38700.0,3.50090889260173,-76.3530289102346,((VAP1xG40287)F1XSEF10)F1XSMC214/006F1,1.61780104712042,,HI,HI,,HI,0.0,3.0,2.0,4.0,2.0,006F1,12C,01C,
742,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214/006F1-11C-02C:[01C, 02C]",1446.0,22,28,QINT,19109-006,1,((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214,006F1,11C,02C,VAP 1,G 40287,SEF 10,SMC 214,1479360.0,45.26,38.56,0.00017,309.371,18.37,-8.73,37.1346003,128.338,0.345,0.643,0.266,0.092,2.15,0.415,0.002,0.584,36.14,0.89,0.053,2019-10-23,PM,INV_DERECHA,742.0,0.431,898.383,1072.4,0.0032,1994.77,431.0,712.33,0.784,1065.4,284.3525,29.83,8e-05,0.496,1753.0,0.89,0.87,0.85,14.3455555555556,0.0035,0.0227482,3280.0,42488.0,42473.0,3.50092850625515,-76.3530011661351,((VAP1xG40287)F1XSEF10)F1XSMC214/006F1,1.79608938547486,HI,,,LI,,1.0,1.0,3.0,2.0,1.0,006F1,11C,02C,5.0
859,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214/006F1-12C-03C:[01C, 02C]",1450.0,26,9,QINT,19109-006,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214,006F1,12C,03C,VAP 1,G 40287,SEF 10,SMC 214,1504088.0,68.212,36.51,0.0012,172.165,12.551,-4.87,209.1939651,904.427,0.872,0.514,0.26,0.227,2.309,0.806,-0.001,0.196,34.99,0.53,0.207,2019-10-23,PM,INV_DERECHA,859.0,0.637,901.721,500.0,0.0058,1785.07,495.0,868.33,0.723,552.0,241.8467,31.64,0.00099,0.405,1312.0,0.53,0.53,0.52,13.9663888888889,0.0041,0.2394282,5605.0,18373.0,18367.5,3.50087871775031,-76.3530398067087,((VAP1xG40287)F1XSEF10)F1XSMC214/006F1,1.05544147843943,LI,LI,LI,HI,LI,4.0,1.0,0.0,1.0,2.0,006F1,12C,03C,
19,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155/002F1-11C-01C:[01C, 02C]",1487.0,1,16,QINT,19110-002,3,((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155,002F1,11C,01C,VAP 1,G 40287,SEF 10,SMR 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
302,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155/002F1-11C-03C:[01C, 02C]",1489.0,9,5,QINT,19110-002,3,((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155,002F1,11C,03C,VAP 1,G 40287,SEF 10,SMR 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
595,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155/002F1-11C-02C:[01C, 02C]",1488.0,18,17,QINT,19110-002,3,((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155,002F1,11C,02C,VAP 1,G 40287,SEF 10,SMR 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
220,"((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155/004F1-03C-01C:[01C, 02C]",1502.0,7,19,QINT,19110-004,2,((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155,004F1,03C,01C,VAP 1,G 40287,SEF 10,SMR 155,1478682.0,47.613,38.45,0.00056,260.842,42.139,-6.64,147.10168215,615.617,0.849,0.531,0.254,0.215,1.226,1.033,-0.377,0.344,43.78,1.32,0.146,2019-10-23,PM,INV_IZQUIERDA,220.0,0.5,901.925,2373.0,0.0038,1648.56,453.0,773.33,0.725,2379.0,318.3624,31.81,0.00022,0.429,4292.0,1.32,1.31,1.31,14.0077777777778,0.0031,0.0700397,5440.0,42900.0,42915.0,3.50095537025481,-76.3529341109097,((VAP1xG40287)F1XSEF10)F1XSMR155/004F1,1.13219616204691,LI,,HI,,HI,1.0,2.0,2.0,2.0,2.0,004F1,03C,01C,
